date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-12,2.097,2.156,2.156,2.097,180.0,0.019,0.89,2.125,2.109,2.116,139.2,100.7,115.3
2016-10-11,2.132,2.14,2.137,2.085,77.0,0.004,0.19,2.11,2.103,2.114,137.0,122.1,112.15
2016-10-10,2.101,2.14,2.133,2.08,257.0,0.023,1.09,2.096,2.1,2.112,140.4,115.6,108.35
2016-09-30,2.094,2.11,2.11,2.033,150.0,0.021,1.0,2.086,2.097,2.113,89.2,94.5,95.55
2016-09-29,2.061,2.089,2.089,2.061,32.0,0.009,0.43,2.087,2.096,2.113,67.0,114.5,89.05
2016-09-28,2.14,2.14,2.08,2.016,169.0,0.01,0.48,2.092,2.096,2.115,62.2,114.1,90.85
2016-09-27,2.056,2.07,2.07,2.056,94.0,-0.01,-0.48,2.097,2.097,2.117,107.2,104.3,88.45
2016-09-26,2.08,2.08,2.08,2.08,1.0,-0.037,-1.75,2.103,2.107,2.119,90.8,106.8,84.2
2016-09-23,2.11,2.118,2.117,2.06,39.0,0.002,0.1,2.108,2.115,2.122,99.8,126.2,99.95
2016-09-22,2.115,2.115,2.115,2.115,8.0,0.014,0.67,2.104,2.12,2.122,162.0,125.0,99.65
2016-09-21,2.089,2.101,2.101,2.089,394.0,0.001,0.05,2.099,2.123,2.123,166.0,129.9,110.23
2016-09-20,2.079,2.1,2.1,2.061,12.0,-0.009,-0.43,2.098,2.124,2.124,101.4,102.2,95.98
2016-09-19,2.108,2.109,2.109,2.05,46.0,0.012,0.57,2.111,2.124,2.123,122.8,101.1,96.48
2016-09-14,1.991,2.1,2.097,1.99,350.0,0.009,0.43,2.122,2.128,2.124,152.6,96.6,128.58
2016-09-13,2.078,2.094,2.088,2.078,28.0,-0.006,-0.29,2.135,2.131,2.125,88.0,63.6,152.23
2016-09-12,2.065,2.165,2.094,2.065,71.0,-0.072,-3.32,2.147,2.133,2.125,93.8,67.6,150.88
